appid,cluster_id,umap_x,umap_y,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
383870,1,8.279769,1.0142103,0.0111164570251513,0.011112137435482,0.0111132408986583,0.0111117556673625,0.0111145538398129,0.2983755411257554,0.0111122801833197,0.6127127975310167,0.0111146206392089,0.0111166156542322
6000,2,10.498767,4.4444675,0.0062512155998587,0.0062502886127536,0.0062508709011292,0.0062513687666048,0.0062507042191702,0.0062503544925993,0.9437427912526972,0.0062504588500441,0.0062506804743811,0.0062512668307613
1238860,2,11.457668,5.1787443,0.009091386427893,0.0090927387175465,0.0090951187964493,0.0090926122050708,0.0090934509158801,0.0090910749062564,0.9181663369311828,0.0090933209916549,0.0090922587866874,0.0090917013213785
1619450,0,12.139396,1.0839438,0.0058842891757742,0.0058833954724623,0.0058862227978349,0.0058836148738058,0.0058846584258367,0.4640559138090181,0.0058836281187054,0.0058837011407566,0.0058834113165791,0.4888711648692265
728880,1,6.9644103,3.2847989,0.0055568829222655,0.0055568592360551,0.0055567925041368,0.9499860150865826,0.0055570396291931,0.0055574989117025,0.0055572591232074,0.0055577571012099,0.0055566894827069,0.0055572060029398
291650,0,13.907188,1.8905233,0.0052645352703622,0.0052642536212293,0.428729793339875,0.0052636302634961,0.5291572199998514,0.0052639925563196,0.0052635499931908,0.0052643417788969,0.0052642087102662,0.0052644744665121
680420,4,11.394135,2.506645,0.0083371518369114,0.0083353957080724,0.0083355325757899,0.0083362710456397,0.0083363158767006,0.0083359746419222,0.0083358691786564,0.0083347295874219,0.4955715047861653,0.4377412547627198
1029690,4,11.563031,5.865174,0.0047630589146875,0.4516563544492625,0.5102392704588797,0.0047636146994883,0.0047629744383462,0.0047628606004243,0.0047629064679773,0.0047631088314775,0.004763015438273,0.0047628357011833
418240,3,10.869809,0.6833935,0.0058829959909492,0.0058835905406662,0.0058834735517144,0.0058837801510137,0.0058836903984139,0.0058836297079243,0.0058830639207438,0.9470455240150024,0.0058853064699369,0.0058849452536346
883710,4,9.584571,1.4279107,0.0058829701041927,0.0058840122271666,0.0058829922376362,0.0058836172999524,0.0058826922602881,0.0058852648722214,0.9470496670378044,0.0058829735648032,0.0058830898744791,0.0058827205214556
